x,y,height,slope,buildable,distance_to_road,accessibility,center_score,noise_value,density_potential,green_potential,open_space_potential,state,density,type,is_tower
29,4,0.499,0.009,True,1.5,0.62,0.121,0.677,0.485,0.672,0.749,1,low,residential_low,False
0,5,0.284,0.109,True,7.517,0.354,0.188,0.471,0.334,0.675,0.602,0,none,forest,False
1,5,0.393,0.112,True,6.519,0.416,0.229,0.498,0.38,0.637,0.623,0,none,forest,False
2,5,0.505,0.112,True,5.523,0.478,0.269,0.535,0.429,0.603,0.649,1,low,residential_low,False
3,5,0.616,0.111,True,4.528,0.539,0.307,0.406,0.436,0.502,0.569,1,low,residential_low,False
4,5,0.722,0.106,True,3.535,0.6,0.344,0.497,0.497,0.49,0.63,1,low,residential_low,False
5,5,0.819,0.097,True,2.545,0.66,0.379,0.445,0.522,0.421,0.599,1,low,residential_low,False
6,5,0.905,0.086,True,1.554,0.72,0.413,0.554,0.586,0.445,0.673,1,low,residential_low,False
7,5,0.977,0.072,True,0.563,0.778,0.444,0.515,0.612,0.411,0.639,1,low,residential_low,False
8,5,1.032,0.066,True,0.428,0.795,0.473,0.485,0.621,0.394,0.619,1,low,residential_low,False
9,5,1.069,0.076,True,1.419,0.756,0.498,0.628,0.647,0.463,0.693,1,low,residential_low,False
10,5,1.087,0.086,True,2.41,0.716,0.52,0.592,0.626,0.462,0.682,1,low,residential_low,False
11,5,1.087,0.095,True,3.4,0.674,0.537,0.515,0.593,0.444,0.652,1,low,residential_low,False
12,5,1.07,0.101,True,4.391,0.631,0.55,0.465,0.565,0.438,0.626,1,low,residential_low,False
13,5,1.038,0.105,True,5.382,0.586,0.558,0.557,0.57,0.489,0.682,1,low,residential_low,False
14,5,0.992,0.108,True,6.373,0.54,0.561,0.657,0.576,0.544,0.743,1,low,residential_low,False
15,5,0.937,0.108,True,7.364,0.491,0.558,0.752,0.576,0.598,0.799,1,low,residential_low,False
16,5,0.876,0.105,True,7.169,0.497,0.55,0.696,0.563,0.574,0.763,1,low,residential_low,False
17,5,0.811,0.101,True,6.483,0.526,0.537,0.669,0.565,0.553,0.747,1,low,residential_low,False
18,5,0.747,0.095,True,5.796,0.553,0.52,0.61,0.557,0.521,0.71,1,low,residential_low,False
19,5,0.688,0.086,True,5.109,0.578,0.498,0.587,0.556,0.504,0.695,1,low,residential_low,False
20,5,0.634,0.077,True,4.423,0.602,0.473,0.548,0.55,0.481,0.669,1,low,residential_low,False
21,5,0.59,0.066,True,3.736,0.626,0.444,0.396,0.514,0.412,0.571,1,low,residential_low,False
22,5,0.554,0.055,True,3.049,0.648,0.413,0.445,0.527,0.425,0.602,1,low,residential_low,False
23,5,0.529,0.045,True,2.363,0.669,0.379,0.479,0.535,0.432,0.622,1,low,residential_low,False
24,5,0.512,0.034,True,1.676,0.69,0.344,0.595,0.562,0.471,0.694,1,low,residential_low,False
25,5,0.503,0.024,True,0.99,0.71,0.307,0.527,0.543,0.467,0.655,1,low,residential_low,False
26,5,0.499,0.014,True,0.303,0.729,0.269,0.539,0.543,0.495,0.666,1,low,residential_low,False
27,5,0.497,0.005,True,0.384,0.712,0.229,0.69,0.562,0.59,0.763,1,low,residential_low,False
28,5,0.495,0.005,True,1.07,0.664,0.188,0.701,0.531,0.639,0.768,1,low,residential_low,False
29,5,0.49,0.012,True,1.803,0.615,0.147,0.644,0.482,0.661,0.73,1,low,residential_low,False
0,6,0.272,0.116,True,7.634,0.357,0.214,0.543,0.361,0.703,0.651,0,none,forest,False
1,6,0.388,0.12,True,6.643,0.42,0.256,0.572,0.409,0.665,0.673,0,none,forest,False
