x,y,height,slope,buildable,distance_to_road,accessibility,state,density,type,is_tower
11,12,1.652,0.054,True,2.455,0.82,2,medium,residential_medium,False
12,12,1.675,0.058,True,3.445,0.786,4,high,tower_candidate,True
13,12,1.67,0.061,True,3.203,0.808,3,high,urban_high,False
14,12,1.638,0.061,True,2.699,0.836,3,high,urban_high,False
15,12,1.583,0.076,True,2.195,0.856,5,none,plaza,False
16,12,1.507,0.091,True,1.692,0.87,5,none,plaza,False
17,12,1.416,0.104,True,1.188,0.881,3,high,urban_high,False
18,12,1.312,0.11,True,0.684,0.891,4,high,tower_candidate,True
19,12,1.202,0.111,True,0.02,0.907,2,medium,residential_medium,False
20,12,1.091,0.111,True,0.666,0.86,2,medium,residential_medium,False
21,12,0.981,0.11,True,1.353,0.811,2,medium,residential_medium,False
22,12,0.878,0.103,True,2.04,0.761,2,medium,residential_medium,False
23,12,0.784,0.094,True,2.726,0.711,2,medium,residential_medium,False
24,12,0.699,0.085,True,3.413,0.662,2,medium,residential_medium,False
25,12,0.625,0.074,True,4.1,0.612,1,low,residential_low,False
26,12,0.559,0.066,True,4.786,0.562,1,low,residential_low,False
27,12,0.502,0.057,True,5.473,0.512,1,low,residential_low,False
28,12,0.451,0.051,True,6.159,0.462,0,none,forest,False
29,12,0.402,0.049,True,6.846,0.412,0,none,forest,False
0,13,0.191,0.155,True,7.632,0.393,0,none,forest,False
1,13,0.346,0.165,True,7.159,0.433,0,none,forest,False
2,13,0.511,0.17,True,6.598,0.477,1,low,residential_low,False
3,13,0.681,0.171,True,5.607,0.542,2,medium,residential_medium,False
4,13,0.852,0.171,True,4.616,0.606,2,medium,residential_medium,False
5,13,1.019,0.167,True,3.626,0.671,2,medium,residential_medium,False
6,13,1.178,0.159,True,2.635,0.736,2,medium,residential_medium,False
7,13,1.323,0.145,True,1.644,0.8,2,medium,residential_medium,False
8,13,1.45,0.127,True,0.653,0.865,2,medium,residential_medium,False
9,13,1.556,0.106,True,0.338,0.897,2,medium,residential_medium,False
10,13,1.636,0.08,True,1.329,0.866,2,medium,residential_medium,False
11,13,1.69,0.054,True,2.319,0.834,3,high,urban_high,False
12,13,1.715,0.04,True,2.843,0.825,3,high,urban_high,False
13,13,1.712,0.042,True,2.339,0.863,3,high,urban_high,False
14,13,1.682,0.056,True,1.836,0.895,5,none,plaza,False
15,13,1.626,0.076,True,1.332,0.912,1,low,residential_low,False
16,13,1.55,0.094,True,0.828,0.922,5,none,plaza,False
17,13,1.456,0.106,True,0.324,0.93,3,high,urban_high,False
18,13,1.35,0.113,True,0.18,0.921,2,medium,residential_medium,False
19,13,1.237,0.116,True,0.088,0.909,2,medium,residential_medium,False
20,13,1.121,0.116,True,0.877,0.854,2,medium,residential_medium,False
21,13,1.008,0.113,True,1.666,0.799,2,medium,residential_medium,False
22,13,0.9,0.108,True,2.456,0.744,2,medium,residential_medium,False
23,13,0.801,0.099,True,3.245,0.689,2,medium,residential_medium,False
24,13,0.712,0.089,True,4.034,0.634,2,medium,residential_medium,False
